Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,ClaimID
mar,2.0,sunday,mazda,urban,wednesday,mar,3.0,male,single,71.0,policy holder,sedan - all perils,sedan,more than 69000,,7.0,400.0,3.0,more than 30,more than 30,none,more than 7,over 65,no,no,external,none,no change,1 vehicle,2019.0,all perils,10
Mar,5.0,Monday,Honda,Urban,Monday,Mar,5.0,Male,Married,52.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,12.0,13.0,400.0,,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,2019.0,Liability,11
jan,3.0,friday,ford,urban,friday,jan,3.0,male,married,28.0,policy holder,sedan - liability,sport,more than 69000,13.0,11.0,400.0,1.0,more than 30,more than 30,1,7 years,,,no,external,none,no change,1 vehicle,2019.0,liability,12
jan,5.0,friday,honda,rural,wednesday,feb,1.0,male,single,0.0,third party,sedan - collision,sedan,more than 69000,14.0,12.0,,3.0,,more than 30,,new,16 to 17,no,no,external,none,no change,1 vehicle,,collision,13
Jan,,Monday,Ford,Urban,,Feb,1.0,Male,Married,61.0,,Sedan - Liability,Sport,,15.0,,400.0,1.0,more than 30,,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,2019.0,Liability,14
aug,4.0,tuesday,ford,urban,,aug,5.0,male,single,38.0,policy holder,sedan - liability,sport,more than 69000,16.0,16.0,400.0,1.0,more than 30,more than 30,none,6 years,36 to 40,no,,,none,no change,1 vehicle,2019.0,liability,15
Apr,4.0,Thursday,Ford,Urban,Wednesday,,1.0,,Married,41.0,,Sedan - All Perils,Sedan,more than 69000,17.0,,,4.0,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,2019.0,All Perils,16
Jul,5.0,Sunday,Chevrolet,Urban,Wednesday,Aug,1.0,Female,Married,28.0,,Sedan - Collision,,20000 to 29000,18.0,6.0,400.0,1.0,more than 30,more than 30,none,7 years,31 to 35,No,,External,1 to 2,no change,,2019.0,Collision,17
May,4.0,Thursday,Pontiac,Urban,Monday,May,5.0,Male,,32.0,Policy Holder,,Sport,20000 to 29000,19.0,6.0,400.0,1.0,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,2019.0,Liability,18
Apr,4.0,Monday,,Urban,Tuesday,May,1.0,Male,Married,30.0,Third Party,Sedan - Liability,Sport,more than 69000,20.0,2.0,400.0,2.0,more than 30,more than 30,,6 years,31 to 35,No,,External,more than 5,no change,,2019.0,Liability,19
Apr,2.0,Friday,Mazda,Urban,Tuesday,,1.0,Male,Married,40.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,21.0,3.0,400.0,1.0,more than 30,more than 30,1,more than 7,,No,No,External,more than 5,no change,1 vehicle,2019.0,Liability,20
jan,2.0,saturday,chevrolet,,monday,jan,2.0,male,,,policy holder,sedan - collision,sedan,20000 to 29000,,13.0,400.0,2.0,more than 30,more than 30,1,more than 7,41 to 50,,no,external,,4 to 8 years,2 vehicles,2019.0,collision,21
Aug,3.0,Sunday,Mazda,Urban,Thursday,Aug,5.0,Male,Married,63.0,,Sedan - Liability,Sport,20000 to 29000,23.0,8.0,400.0,3.0,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,2019.0,,22
Jun,3.0,Saturday,Pontiac,,Tuesday,Jun,3.0,Male,Single,31.0,Third Party,Sedan - Liability,Sport,30000 to 39000,24.0,5.0,400.0,3.0,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,,2019.0,Liability,23
Sep,,Friday,Mazda,Urban,Friday,Sep,3.0,Male,Married,45.0,Policy Holder,,Sedan,more than 69000,25.0,12.0,400.0,3.0,more than 30,more than 30,more than 4,more than 7,36 to 40,Yes,No,External,none,no change,1 vehicle,2019.0,All Perils,24
Mar,,Monday,Pontiac,Urban,Tuesday,Apr,1.0,Male,Married,60.0,Policy Holder,Sedan - Liability,Sport,,,16.0,400.0,4.0,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,2019.0,Liability,25
Mar,3.0,Thursday,Honda,Urban,Thursday,Jun,4.0,Male,Married,21.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,,1.0,400.0,2.0,more than 30,more than 30,more than 4,5 years,26 to 30,No,No,External,,no change,1 vehicle,2019.0,Collision,26
May,3.0,Sunday,Accura,Urban,Friday,May,4.0,Male,Married,42.0,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,28.0,1.0,400.0,3.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,2019.0,All Perils,27
jul,1.0,saturday,honda,urban,tuesday,sep,4.0,male,single,0.0,policy holder,sedan - all perils,sedan,,29.0,,400.0,1.0,more than 30,,none,new,16 to 17,no,no,external,none,no change,1 vehicle,2019.0,all perils,28
May,,Monday,Mazda,Urban,Wednesday,May,4.0,Female,Married,,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,30.0,12.0,,3.0,more than 30,more than 30,none,7 years,36 to 40,No,,External,none,no change,1 vehicle,2019.0,Collision,29
mar,2.0,friday,dodge,urban,saturday,mar,2.0,,,47.0,policy holder,sedan - collision,sedan,30000 to 39000,31.0,2.0,,1.0,more than 30,,2 to 4,,41 to 50,no,no,internal,none,no change,1 vehicle,2019.0,collision,30
mar,1.0,sunday,honda,,tuesday,mar,2.0,male,,0.0,policy holder,sedan - collision,,more than 69000,32.0,6.0,,1.0,more than 30,more than 30,1,new,16 to 17,no,no,external,none,no change,1 vehicle,2019.0,collision,31
Mar,2.0,Wednesday,,Urban,Wednesday,Mar,2.0,Male,Single,42.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,33.0,,400.0,3.0,more than 30,more than 30,more than 4,,36 to 40,,,External,3 to 5,no change,1 vehicle,2019.0,Collision,32
jan,4.0,monday,honda,urban,tuesday,jan,4.0,male,single,30.0,third party,sedan - collision,sedan,20000 to 29000,34.0,2.0,400.0,4.0,more than 30,more than 30,none,,31 to 35,no,no,external,1 to 2,no change,1 vehicle,2019.0,collision,33
Jan,4.0,Tuesday,Ford,Urban,,Jan,4.0,Male,Married,42.0,Policy Holder,Utility - All Perils,Utility,more than 69000,35.0,12.0,400.0,1.0,more than 30,more than 30,,7 years,36 to 40,No,No,External,none,no change,1 vehicle,2019.0,All Perils,34
Oct,,Wednesday,Chevrolet,Urban,Thursday,,2.0,,Single,34.0,Third Party,Sedan - Liability,Sport,20000 to 29000,36.0,5.0,400.0,3.0,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,,no change,1 vehicle,2019.0,Liability,35
Oct,2.0,,Honda,,Thursday,Oct,3.0,Male,Married,30.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,37.0,11.0,400.0,4.0,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,,1 vehicle,2019.0,Collision,36
sep,2.0,friday,mazda,urban,,sep,3.0,male,,27.0,,sedan - collision,sedan,30000 to 39000,38.0,,400.0,2.0,more than 30,more than 30,none,7 years,31 to 35,no,no,external,more than 5,no change,1 vehicle,,collision,37
Nov,4.0,Tuesday,Honda,Urban,Thursday,Nov,4.0,Male,,55.0,Policy Holder,,Sport,more than 69000,39.0,12.0,400.0,1.0,more than 30,more than 30,none,more than 7,,No,No,External,none,no change,1 vehicle,2019.0,Collision,38
nov,4.0,thursday,toyota,urban,,jan,1.0,male,married,35.0,policy holder,,sedan,20000 to 29000,40.0,1.0,400.0,3.0,more than 30,more than 30,none,7 years,31 to 35,no,no,external,1 to 2,no change,1 vehicle,2019.0,collision,39
Mar,4.0,Wednesday,Chevrolet,Urban,Wednesday,Apr,1.0,,Married,35.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,41.0,11.0,400.0,,more than 30,more than 30,2 to 4,,31 to 35,No,,External,more than 5,no change,1 vehicle,2019.0,Collision,40
Mar,3.0,Friday,Pontiac,Urban,Wednesday,Mar,4.0,Male,Married,44.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,42.0,15.0,400.0,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,3 to 4,,All Perils,41
jul,1.0,monday,toyota,urban,monday,,1.0,female,single,42.0,policy holder,sedan - liability,sport,20000 to 29000,43.0,12.0,400.0,4.0,more than 30,more than 30,none,4 years,36 to 40,no,no,external,none,4 to 8 years,2 vehicles,2019.0,liability,42
Jan,3.0,Tuesday,Honda,Urban,Monday,Jan,4.0,Male,Married,41.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,44.0,5.0,400.0,2.0,more than 30,,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,2019.0,,43
Jan,3.0,Wednesday,Toyota,Urban,,Jan,4.0,,Married,72.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,45.0,,400.0,1.0,more than 30,more than 30,,more than 7,,No,No,External,none,no change,1 vehicle,2019.0,Collision,44
feb,2.0,wednesday,pontiac,urban,thursday,feb,2.0,female,married,29.0,third party,sedan - all perils,sedan,less than 20000,,8.0,400.0,3.0,more than 30,more than 30,,5 years,31 to 35,no,no,external,none,no change,1 vehicle,2019.0,,45
Feb,2.0,Thursday,Pontiac,Urban,Monday,Feb,3.0,Male,Single,32.0,Third Party,Sedan - Collision,Sedan,30000 to 39000,47.0,9.0,,4.0,,more than 30,none,6 years,31 to 35,No,No,,none,no change,1 vehicle,2019.0,Collision,46
Nov,4.0,Thursday,Mazda,Urban,Friday,Nov,4.0,Male,Married,,Policy Holder,Sedan - Liability,Sport,30000 to 39000,48.0,13.0,400.0,3.0,more than 30,more than 30,,5 years,36 to 40,No,No,,more than 5,no change,1 vehicle,2019.0,Liability,47
apr,3.0,thursday,chevrolet,urban,thursday,may,1.0,female,married,37.0,policy holder,sedan - liability,sport,more than 69000,49.0,10.0,400.0,,more than 30,more than 30,2 to 4,6 years,36 to 40,no,no,external,3 to 5,no change,1 vehicle,2019.0,liability,48
apr,3.0,friday,pontiac,urban,tuesday,apr,3.0,male,married,59.0,policy holder,sedan - collision,sedan,20000 to 29000,,9.0,400.0,4.0,more than 30,more than 30,more than 4,more than 7,51 to 65,,no,external,3 to 5,,1 vehicle,2019.0,collision,49
May,4.0,,Pontiac,Urban,Friday,May,4.0,Male,Married,49.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,51.0,14.0,400.0,2.0,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,,1 vehicle,,Liability,50
Jun,4.0,Wednesday,Pontiac,Urban,Friday,Jun,4.0,Male,Married,27.0,Policy Holder,Sedan - Liability,Sport,,52.0,4.0,500.0,,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,2 to 3 years,1 vehicle,2019.0,Liability,51
jul,3.0,sunday,honda,rural,wednesday,jan,4.0,male,,21.0,policy holder,sport - collision,sport,more than 69000,53.0,4.0,400.0,4.0,more than 30,more than 30,none,,26 to 30,no,no,external,3 to 5,no change,1 vehicle,2019.0,collision,52
Jul,4.0,Saturday,Honda,Urban,,Aug,2.0,Male,Married,50.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,54.0,13.0,400.0,1.0,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,,Collision,53
jun,4.0,tuesday,pontiac,urban,tuesday,jun,4.0,male,single,45.0,policy holder,sedan - collision,sedan,30000 to 39000,55.0,8.0,400.0,1.0,more than 30,more than 30,1,7 years,36 to 40,no,no,,1 to 2,no change,1 vehicle,2019.0,collision,54
Dec,3.0,Monday,Mazda,Urban,Wednesday,Dec,3.0,Male,Married,49.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,56.0,7.0,400.0,4.0,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,2019.0,,55
Jun,4.0,Friday,Honda,,Thursday,Jun,5.0,Male,Single,30.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,57.0,5.0,400.0,4.0,more than 30,more than 30,2 to 4,6 years,31 to 35,,No,External,,no change,,2019.0,All Perils,56
Nov,2.0,Friday,Accura,Urban,Monday,Nov,2.0,Male,,37.0,Policy Holder,,Sedan,more than 69000,58.0,11.0,400.0,3.0,,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,2019.0,Collision,57
May,1.0,,Honda,Rural,Wednesday,May,4.0,Male,Single,0.0,Policy Holder,Sedan - Liability,Sport,more than 69000,59.0,15.0,400.0,4.0,more than 30,more than 30,none,new,16 to 17,No,No,External,none,,1 vehicle,2019.0,Liability,58
,1.0,wednesday,chevrolet,urban,monday,may,2.0,female,single,27.0,policy holder,sedan - collision,sedan,20000 to 29000,60.0,4.0,400.0,4.0,more than 30,more than 30,none,6 years,31 to 35,no,no,external,1 to 2,no change,1 vehicle,2019.0,collision,59
nov,1.0,monday,toyota,urban,monday,nov,3.0,male,,30.0,policy holder,sedan - all perils,,30000 to 39000,61.0,5.0,400.0,4.0,more than 30,more than 30,none,5 years,31 to 35,no,no,external,none,no change,1 vehicle,2019.0,all perils,60
Sep,,Tuesday,Pontiac,Urban,Friday,Jan,,Male,Married,49.0,Policy Holder,Utility - Collision,Utility,40000 to 59000,62.0,6.0,,4.0,more than 30,more than 30,none,more than 7,41 to 50,,No,External,none,no change,1 vehicle,2019.0,Collision,61
nov,4.0,sunday,honda,urban,friday,,3.0,male,single,0.0,third party,sedan - all perils,sedan,more than 69000,63.0,3.0,400.0,2.0,more than 30,more than 30,2 to 4,new,16 to 17,no,no,,none,no change,1 vehicle,2019.0,all perils,62
feb,5.0,monday,toyota,urban,tuesday,mar,1.0,male,,26.0,policy holder,sedan - liability,sport,20000 to 29000,64.0,,400.0,3.0,more than 30,more than 30,2 to 4,7 years,31 to 35,no,no,external,more than 5,4 to 8 years,2 vehicles,2019.0,liability,63
dec,1.0,friday,pontiac,urban,tuesday,dec,2.0,male,single,48.0,policy holder,sedan - collision,sedan,20000 to 29000,,,400.0,1.0,more than 30,,none,7 years,41 to 50,no,no,external,none,no change,1 vehicle,2019.0,collision,64
Dec,4.0,Friday,Mazda,Urban,Monday,Jan,2.0,Male,Single,31.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,66.0,6.0,400.0,3.0,,,none,,31 to 35,No,No,External,none,no change,,2019.0,All Perils,65
mar,3.0,friday,mercury,urban,friday,mar,3.0,,single,40.0,third party,sedan - collision,sedan,more than 69000,67.0,16.0,400.0,2.0,more than 30,more than 30,1,7 years,36 to 40,no,no,external,more than 5,no change,1 vehicle,2019.0,collision,66
Aug,4.0,Thursday,Mazda,Urban,Monday,Aug,,Male,Married,65.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,68.0,12.0,400.0,1.0,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,2019.0,Liability,67
jan,1.0,sunday,toyota,urban,tuesday,jan,1.0,male,,64.0,policy holder,sedan - collision,sedan,20000 to 29000,69.0,5.0,400.0,1.0,more than 30,more than 30,1,more than 7,51 to 65,no,no,external,none,,1 vehicle,2019.0,collision,68
jan,1.0,sunday,honda,urban,wednesday,jan,1.0,male,married,55.0,policy holder,sedan - liability,sport,20000 to 29000,70.0,12.0,400.0,2.0,more than 30,more than 30,,7 years,,,no,,more than 5,no change,1 vehicle,2019.0,liability,69
jan,1.0,sunday,honda,urban,wednesday,jan,1.0,male,single,44.0,policy holder,sedan - collision,sedan,20000 to 29000,,16.0,400.0,1.0,more than 30,more than 30,2 to 4,7 years,,no,no,external,3 to 5,no change,,2019.0,collision,70
jan,1.0,tuesday,,urban,thursday,jan,1.0,male,,27.0,policy holder,sedan - collision,sedan,,72.0,9.0,400.0,3.0,more than 30,more than 30,1,,31 to 35,no,no,,1 to 2,no change,1 vehicle,2019.0,collision,71
sep,4.0,thursday,chevrolet,urban,monday,,5.0,female,single,28.0,third party,sedan - collision,sedan,20000 to 29000,73.0,5.0,400.0,3.0,15 to 30,more than 30,1,5 years,31 to 35,no,no,external,none,no change,1 vehicle,2019.0,collision,72
jan,,monday,honda,urban,tuesday,jan,1.0,male,married,47.0,third party,sedan - collision,sedan,20000 to 29000,74.0,7.0,400.0,2.0,more than 30,more than 30,1,,41 to 50,no,no,external,more than 5,no change,1 vehicle,2019.0,collision,73
Apr,5.0,Saturday,Mazda,,Tuesday,May,1.0,Male,Married,60.0,Third Party,Sedan - Collision,Sedan,more than 69000,,12.0,400.0,3.0,more than 30,,more than 4,7 years,,No,No,External,more than 5,no change,1 vehicle,2019.0,Collision,74
,1.0,saturday,ford,urban,wednesday,aug,4.0,male,married,33.0,third party,sedan - collision,sedan,30000 to 39000,76.0,9.0,400.0,,more than 30,more than 30,more than 4,6 years,,,,external,none,no change,1 vehicle,2019.0,collision,75
Oct,4.0,Tuesday,Chevrolet,Urban,Monday,Jan,1.0,Male,,27.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,,1.0,400.0,3.0,more than 30,more than 30,none,6 years,31 to 35,No,No,External,,no change,1 vehicle,2019.0,All Perils,76
feb,2.0,friday,honda,urban,tuesday,feb,3.0,female,married,47.0,third party,sport - collision,sport,more than 69000,78.0,12.0,400.0,3.0,more than 30,more than 30,none,more than 7,41 to 50,no,no,,none,no change,1 vehicle,2019.0,collision,77
Feb,,,Jaguar,Rural,Tuesday,Feb,3.0,Female,Single,29.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,79.0,16.0,400.0,,more than 30,more than 30,2 to 4,,,No,No,External,3 to 5,no change,1 vehicle,2019.0,Liability,78
feb,4.0,saturday,toyota,urban,friday,mar,1.0,female,married,33.0,third party,sedan - collision,sedan,30000 to 39000,,10.0,400.0,1.0,more than 30,more than 30,2 to 4,7 years,31 to 35,no,,external,more than 5,no change,,2019.0,collision,79
Jan,3.0,Wednesday,Pontiac,Urban,Wednesday,Jan,3.0,,Married,38.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,81.0,13.0,400.0,4.0,more than 30,more than 30,2 to 4,6 years,36 to 40,No,,External,none,no change,,2019.0,Liability,80
jan,3.0,thursday,mazda,urban,friday,jan,4.0,male,single,37.0,third party,,sport,20000 to 29000,82.0,6.0,400.0,2.0,more than 30,more than 30,,7 years,36 to 40,no,no,external,none,no change,1 vehicle,2019.0,liability,81
,2.0,friday,chevrolet,urban,thursday,apr,,male,,36.0,third party,sedan - all perils,sedan,more than 69000,83.0,13.0,400.0,4.0,more than 30,more than 30,none,7 years,36 to 40,,no,external,none,no change,3 to 4,2019.0,all perils,82
nov,5.0,tuesday,toyota,urban,friday,feb,1.0,female,,,policy holder,sedan - liability,,20000 to 29000,,9.0,400.0,4.0,more than 30,more than 30,none,6 years,,no,no,external,1 to 2,no change,1 vehicle,2019.0,,83
Dec,1.0,Wednesday,Honda,Urban,Monday,Jan,1.0,,Single,0.0,Policy Holder,Sedan - Liability,Sport,more than 69000,85.0,6.0,400.0,2.0,more than 30,more than 30,more than 4,new,16 to 17,No,,External,none,4 to 8 years,2 vehicles,2019.0,,84
dec,,tuesday,chevrolet,rural,tuesday,mar,1.0,male,married,27.0,policy holder,utility - liability,utility,more than 69000,,4.0,400.0,4.0,more than 30,more than 30,1,6 years,,no,no,external,more than 5,no change,1 vehicle,2019.0,liability,85
May,4.0,Tuesday,Toyota,,Wednesday,May,4.0,Male,Single,27.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,87.0,14.0,400.0,3.0,more than 30,more than 30,1,,31 to 35,No,No,,more than 5,no change,1 vehicle,2019.0,Collision,86
May,4.0,Sunday,Mazda,Urban,Wednesday,May,4.0,Male,,,Third Party,Sedan - All Perils,Sedan,20000 to 29000,88.0,1.0,400.0,2.0,more than 30,more than 30,2 to 4,4 years,,No,,External,,no change,1 vehicle,2019.0,All Perils,87
oct,,saturday,pontiac,urban,monday,oct,5.0,male,married,74.0,third party,sedan - all perils,sedan,,89.0,13.0,400.0,4.0,more than 30,more than 30,,7 years,,no,,external,3 to 5,no change,1 vehicle,2019.0,,88
oct,4.0,sunday,honda,urban,monday,oct,4.0,male,single,23.0,policy holder,sedan - liability,sport,20000 to 29000,90.0,8.0,400.0,2.0,more than 30,more than 30,2 to 4,4 years,26 to 30,no,no,,none,no change,1 vehicle,2019.0,liability,89
Oct,4.0,Sunday,Honda,Urban,Tuesday,Oct,4.0,Female,Single,25.0,Third Party,Sport - Collision,Sport,more than 69000,91.0,,400.0,1.0,more than 30,more than 30,,6 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,2019.0,Collision,90
Jan,2.0,Wednesday,Pontiac,Urban,Wednesday,Jan,2.0,Male,Single,38.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,92.0,,400.0,2.0,,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,1 year,1 vehicle,,Liability,91
Jan,2.0,Thursday,Honda,Urban,Monday,Jan,4.0,Male,Married,41.0,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,93.0,16.0,400.0,1.0,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,,1 vehicle,2019.0,All Perils,92
,4.0,saturday,pontiac,urban,monday,aug,5.0,male,married,38.0,policy holder,sedan - collision,sedan,20000 to 29000,94.0,13.0,700.0,3.0,more than 30,more than 30,2 to 4,7 years,36 to 40,no,no,external,more than 5,no change,1 vehicle,2019.0,,93
Nov,2.0,Thursday,Honda,Urban,Friday,Jan,3.0,,Single,34.0,Policy Holder,Sport - Collision,Sport,more than 69000,95.0,7.0,400.0,3.0,more than 30,more than 30,,,31 to 35,No,No,External,3 to 5,no change,1 vehicle,2019.0,Collision,94
May,2.0,Tuesday,Honda,Urban,Thursday,May,,Male,Married,61.0,Third Party,,Sedan,30000 to 39000,96.0,15.0,400.0,4.0,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,2019.0,Collision,95
,2.0,Friday,Toyota,Urban,Tuesday,Jan,1.0,Male,,38.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,97.0,7.0,400.0,,more than 30,more than 30,1,7 years,,No,No,External,none,no change,1 vehicle,2019.0,Collision,96
,3.0,thursday,toyota,urban,monday,jan,4.0,male,single,,policy holder,sedan - all perils,sedan,less than 20000,,4.0,,4.0,more than 30,more than 30,1,7 years,36 to 40,no,no,external,none,no change,1 vehicle,2019.0,all perils,97
Nov,3.0,Monday,Pontiac,Urban,Wednesday,Jan,4.0,Male,Married,41.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,99.0,12.0,400.0,4.0,more than 30,,2 to 4,7 years,36 to 40,No,No,External,,,1 vehicle,2019.0,All Perils,98
Jan,4.0,Friday,Pontiac,Urban,Monday,,5.0,Male,,36.0,Policy Holder,Sedan - All Perils,,20000 to 29000,100.0,10.0,,1.0,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,2019.0,All Perils,99
nov,3.0,tuesday,chevrolet,urban,wednesday,jan,2.0,male,married,31.0,policy holder,utility - all perils,utility,,,2.0,400.0,1.0,more than 30,more than 30,more than 4,7 years,31 to 35,no,no,external,more than 5,no change,1 vehicle,2019.0,all perils,100
Jan,5.0,Saturday,Pontiac,Urban,Monday,,5.0,Female,Married,35.0,Third Party,Sedan - All Perils,Sedan,,102.0,10.0,400.0,4.0,more than 30,more than 30,1,6 years,,No,No,External,none,no change,1 vehicle,2019.0,All Perils,101
Jan,4.0,Friday,Ford,Urban,Monday,Feb,1.0,Female,,37.0,Policy Holder,Sedan - All Perils,Sedan,,103.0,14.0,,2.0,more than 30,more than 30,2 to 4,6 years,36 to 40,Yes,No,External,3 to 5,no change,,2019.0,All Perils,102
Jan,1.0,Thursday,Mazda,Urban,Tuesday,Jan,2.0,Male,Married,55.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,104.0,14.0,400.0,3.0,more than 30,more than 30,none,more than 7,41 to 50,No,,External,more than 5,no change,1 vehicle,,All Perils,103
jan,1.0,tuesday,pontiac,urban,thursday,jan,1.0,male,single,31.0,third party,sedan - all perils,sedan,20000 to 29000,105.0,12.0,,4.0,more than 30,more than 30,2 to 4,7 years,31 to 35,no,no,external,1 to 2,no change,1 vehicle,2019.0,all perils,104
